"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Variation %"
"06/03/2019","83,14","83,84","83,84","82,98","-0,82%"
"05/03/2019","83,83","84,00","84,06","83,73","-0,19%"
"04/03/2019","83,99","84,15","84,35","83,68","-0,21%"
"01/03/2019","84,17","84,56","85,25","84,08","-0,48%"
"28/02/2019","84,58","84,36","84,81","83,94","0,27%"
"27/02/2019","84,35","83,99","84,53","83,74","0,45%"
"26/02/2019","83,97","84,19","84,27","83,61","-0,27%"
"25/02/2019","84,20","82,03","84,48","82,00","-0,07%"
"22/02/2019","84,26","83,66","84,29","83,56","0,71%"
"21/02/2019","83,67","84,13","84,23","83,62","-0,56%"
"20/02/2019","84,14","83,77","84,28","83,64","0,47%"
"19/02/2019","83,75","83,56","83,83","83,22","0,24%"
"18/02/2019","83,55","83,45","83,64","82,93","0,17%"
"15/02/2019","83,41","83,08","83,44","82,81","0,36%"
"14/02/2019","83,11","83,75","83,99","82,90","-0,76%"
"13/02/2019","83,75","83,48","83,89","83,40","0,34%"
"12/02/2019","83,47","82,97","83,50","82,86","0,60%"
"11/02/2019","82,97","82,52","83,20","82,52","0,40%"
"08/02/2019","82,64","82,53","83,03","82,27","0,13%"
"07/02/2019","82,53","83,22","83,31","82,36","-0,83%"
"06/02/2019","83,22","83,80","83,81","83,03","-0,67%"
"05/02/2019","83,78","83,81","83,98","83,50","-0,05%"
"04/02/2019","83,82","83,40","83,98","83,38","0,29%"
"01/02/2019","83,58","82,97","83,84","82,72","0,72%"
"31/01/2019","82,98","82,94","83,00","82,45","0,07%"
"30/01/2019","82,92","82,45","83,20","82,27","0,58%"
"29/01/2019","82,44","82,44","82,67","82,19","-0,04%"
"28/01/2019","82,47","82,87","82,94","82,21","-0,51%"
"25/01/2019","82,89","82,14","82,94","81,97","0,91%"
"24/01/2019","82,14","82,16","82,28","81,94","-0,02%"
"23/01/2019","82,16","81,89","82,46","81,83","0,31%"
"22/01/2019","81,91","82,50","82,52","81,72","-0,73%"
"21/01/2019","82,51","82,84","82,84","82,35","-0,35%"
"18/01/2019","82,80","82,28","82,92","82,11","0,63%"
"17/01/2019","82,28","82,30","82,58","81,60","-0,04%"
"16/01/2019","82,31","81,92","82,45","81,59","0,48%"
"15/01/2019","81,92","81,44","82,09","81,39","0,61%"
"14/01/2019","81,42","81,86","81,88","81,28","-0,50%"
"11/01/2019","81,83","81,92","82,19","81,62","-0,11%"
"10/01/2019","81,92","81,88","82,02","81,42","0,04%"
"09/01/2019","81,89","81,91","82,40","81,55","-0,04%"
"08/01/2019","81,92","81,77","82,16","81,42","0,21%"
"07/01/2019","81,75","81,16","81,86","80,86","0,74%"
"04/01/2019","81,15","79,82","81,18","79,70","1,68%"
"03/01/2019","79,81","80,20","80,36","77,03","-0,47%"
"02/01/2019","80,19","80,46","80,64","79,64","-0,31%"
"01/01/2019","80,44","80,34","80,72","80,31","0,12%"
"31/12/2018","80,34","80,89","81,14","80,25","-0,64%"
"28/12/2018","80,86","81,50","81,56","80,65","-0,81%"
"27/12/2018","81,52","82,03","82,08","80,94","-0,66%"
"26/12/2018","82,06","81,16","82,08","80,94","1,12%"
"25/12/2018","81,15","81,16","81,24","80,62","-0,02%"
"24/12/2018","81,17","81,83","81,94","81,03","-0,75%"
"21/12/2018","81,78","82,39","82,56","81,75","-0,73%"
"20/12/2018","82,38","83,41","83,52","81,92","-1,23%"
"19/12/2018","83,41","83,58","83,73","83,08","-0,18%"
"18/12/2018","83,56","84,17","84,19","83,34","-0,72%"
"17/12/2018","84,17","84,77","84,88","83,97","-0,64%"
"14/12/2018","84,71","85,09","85,15","84,60","-0,47%"
"13/12/2018","85,11","84,86","85,25","84,75","0,29%"
"12/12/2018","84,86","84,69","85,02","84,61","0,21%"
"11/12/2018","84,68","84,59","84,75","84,23","0,08%"
"10/12/2018","84,61","84,64","84,73","84,19","-0,02%"
"07/12/2018","84,63","84,18","85,10","84,08","0,49%"
"06/12/2018","84,22","84,78","84,78","83,56","-0,63%"
"05/12/2018","84,75","85,05","85,20","84,44","-0,33%"
"04/12/2018","85,03","86,14","86,14","84,92","-1,28%"
"03/12/2018","86,13","85,58","86,27","85,53","0,93%"
"30/11/2018","85,34","85,44","85,56","85,19","-0,12%"
"29/11/2018","85,44","85,64","85,66","85,14","-0,26%"
"28/11/2018","85,66","85,56","85,75","85,25","0,09%"
"27/11/2018","85,58","85,70","85,88","85,36","-0,16%"
"26/11/2018","85,72","85,36","85,94","85,31","0,46%"
"23/11/2018","85,33","85,64","85,72","85,05","-0,36%"
"22/11/2018","85,64","85,47","85,75","85,23","0,23%"
"21/11/2018","85,44","84,77","85,53","84,64","0,81%"
"20/11/2018","84,75","85,47","85,56","84,59","-0,83%"
"19/11/2018","85,46","85,82","85,82","85,19","-0,43%"
"16/11/2018","85,83","86,24","86,28","85,50","-0,46%"
"15/11/2018","86,23","85,81","86,38","85,45","0,47%"
"14/11/2018","85,83","85,98","86,28","85,53","-0,19%"
"13/11/2018","85,99","85,93","86,31","85,76","0,06%"
"12/11/2018","85,94","86,27","86,56","85,88","-0,26%"
"09/11/2018","86,16","86,71","86,79","85,94","-0,63%"
"08/11/2018","86,71","86,59","87,01","86,43","0,15%"
"07/11/2018","86,58","86,44","86,80","86,08","0,16%"
"06/11/2018","86,44","86,36","86,56","86,16","0,12%"
"05/11/2018","86,34","86,36","86,62","86,28","-0,02%"
"02/11/2018","86,36","86,14","86,64","85,97","0,26%"
"01/11/2018","86,14","85,86","86,34","85,64","0,33%"
"31/10/2018","85,86","86,32","86,43","85,68","-0,49%"
"30/10/2018","86,28","85,56","86,31","85,52","0,84%"
"29/10/2018","85,56","85,37","85,92","85,27","0,22%"
"26/10/2018","85,37","86,00","86,04","84,84","-0,73%"
"25/10/2018","86,00","86,00","86,33","85,72","0,00%"
"24/10/2018","86,00","85,94","86,83","85,83","0,07%"
"23/10/2018","85,94","86,09","86,17","85,33","-0,21%"
"22/10/2018","86,12","85,94","86,31","85,65","0,23%"
"19/10/2018","85,92","85,75","86,39","85,56","0,21%"
"18/10/2018","85,74","86,51","86,58","85,56","-0,91%"
"17/10/2018","86,53","86,80","86,91","86,14","-0,30%"
"16/10/2018","86,79","86,04","86,90","86,00","0,88%"
"15/10/2018","86,03","86,16","86,42","85,56","-0,15%"
"12/10/2018","86,16","86,07","86,46","85,76","0,08%"
"11/10/2018","86,09","85,92","86,40","85,67","0,20%"
"10/10/2018","85,92","87,23","87,46","85,87","-1,52%"
"09/10/2018","87,25","87,33","87,47","87,00","-0,09%"
"08/10/2018","87,33","87,86","87,98","87,00","-0,65%"
"05/10/2018","87,90","88,15","88,34","87,69","-0,27%"
"04/10/2018","88,14","89,00","89,02","87,94","-0,97%"
"03/10/2018","89,00","88,63","89,24","88,47","0,41%"
"02/10/2018","88,64","88,89","89,05","88,47","-0,28%"
"01/10/2018","88,89","88,12","89,19","88,12","0,91%"
"28/09/2018","88,09","86,94","88,11","86,89","1,32%"
"27/09/2018","86,94","86,58","87,16","86,19","0,42%"
"26/09/2018","86,58","87,22","87,27","86,50","-0,73%"
"25/09/2018","87,22","87,06","87,26","86,93","0,17%"
"24/09/2018","87,07","87,15","87,24","86,83","-0,11%"
"21/09/2018","87,17","87,19","87,48","87,06","-0,02%"
"20/09/2018","87,19","86,94","87,27","86,72","0,29%"
"19/09/2018","86,94","86,61","87,05","86,34","0,38%"
"18/09/2018","86,61","85,77","86,67","85,47","1,00%"
"17/09/2018","85,75","85,94","86,16","85,73","-0,26%"
"14/09/2018","85,97","86,11","86,27","85,78","-0,16%"
"13/09/2018","86,11","85,61","86,18","85,47","0,58%"
"12/09/2018","85,61","85,44","85,83","85,08","0,20%"
"11/09/2018","85,44","84,42","85,58","84,39","1,21%"
"10/09/2018","84,42","84,25","84,56","84,08","-0,01%"
"07/09/2018","84,43","84,29","84,67","83,87","0,18%"
"06/09/2018","84,28","84,66","84,67","83,77","-0,41%"
"05/09/2018","84,63","84,51","84,91","84,36","0,13%"
"04/09/2018","84,52","84,86","85,03","84,20","-0,39%"
"03/09/2018","84,85","85,19","85,19","84,75","-0,39%"
"31/08/2018","85,18","85,49","85,62","84,69","-0,37%"
"30/08/2018","85,50","86,53","86,62","85,42","-1,20%"
"29/08/2018","86,54","86,00","86,59","85,90","0,64%"
"28/08/2018","85,99","85,69","86,22","85,58","0,39%"
"27/08/2018","85,66","85,43","85,76","85,02","0,32%"
"24/08/2018","85,39","85,08","85,48","84,97","0,36%"
"23/08/2018","85,08","85,06","85,36","84,77","0,02%"
"22/08/2018","85,06","84,61","85,12","84,36","0,53%"
"21/08/2018","84,61","84,36","84,86","84,20","0,30%"
"20/08/2018","84,36","84,63","84,75","84,30","-0,30%"
"17/08/2018","84,61","84,31","84,78","83,84","0,36%"
"16/08/2018","84,31","84,28","84,58","84,00","0,05%"
"15/08/2018","84,27","85,14","85,33","83,83","-1,02%"
"14/08/2018","85,14","84,31","85,16","84,19","0,98%"
"13/08/2018","84,31","84,37","84,65","83,62","-0,12%"
"10/08/2018","84,41","85,12","85,22","84,09","-0,83%"
"09/08/2018","85,12","85,23","85,45","84,95","-0,12%"
"08/08/2018","85,22","85,33","85,39","84,72","-0,13%"
"07/08/2018","85,33","85,68","85,88","85,15","-0,40%"
"06/08/2018","85,67","85,64","85,76","85,39","0,01%"
"03/08/2018","85,66","85,73","85,97","85,56","-0,08%"
"02/08/2018","85,73","85,91","85,97","85,39","-0,22%"
"01/08/2018","85,92","86,02","86,31","85,73","-0,12%"
"31/07/2018","86,02","85,22","86,11","84,78","0,96%"
"30/07/2018","85,20","85,06","85,42","84,88","0,14%"
"27/07/2018","85,08","85,08","85,22","84,78","0,00%"
"26/07/2018","85,08","85,06","85,25","84,78","0,02%"
"25/07/2018","85,06","84,53","85,22","84,44","0,62%"
"24/07/2018","84,54","84,53","84,66","84,25","0,01%"
"23/07/2018","84,53","84,84","84,92","84,42","-0,22%"
"20/07/2018","84,72","84,75","85,31","84,53","-0,04%"
"19/07/2018","84,75","85,69","85,75","84,69","-1,11%"
"18/07/2018","85,70","85,57","85,77","85,03","0,14%"
"17/07/2018","85,58","85,47","85,72","85,39","0,09%"
"16/07/2018","85,50","85,34","85,69","85,25","0,14%"
"13/07/2018","85,38","85,58","85,69","85,23","-0,23%"
